Termo;Descrição Padrão
3 X 1C # 25mm2 + 1C#16mm2;4C
3x16mm²+1x16mm²;4C
3x2,5 mm2+1x2,5mm2;4C
3x16 mm2+1x16mm2;4C
3/C#35+1/C#16mm²;4C
3/C#25+1/C#16mm²;4C
3/C#10+1/C#10mm²;4C
3/C#2,5+1/C#2,5mm²;4C
3/C#4+1/C#4mm²;4C
3/C#6+1/C#6mm²;4C
3x95mm2+50mm2;4C
3x25mm2+16mm2;4C
3/c#4+4mm²;4C
Compresão;Compressão
Pressão;Pressão
Compressões;Compressão
Frio;A Frio
Olhal;Olhal
Ilhos;Ilhós
Ilhós;Ilhós
Split Bolt;Split Bolt
Paralelo;Paralelo
Simples;Simples
Duplo;Duplo
Split-Bolt;Split Bolt
Exotérmica;Solda Exotérmica
Exotermica;Solda Exotérmica
Tomada;Tempo
Interruptor;Tempo
Luminária;Tempo
Luminaria;Tempo
Parafuso Fendido;Split Bolt
Camada;Alta Camada
1 Cabo;Simples
2 Cabos;Duplo
Um cabo;Simples
Dois Cabos;Duplo
Médio;Semi Pesado
Mastro;Mastro
Haste;Haste
Revestimento;Alta Camada
Revestida;Alta Camada
Haste de Aterramento;Alta Camada
Haste de Terra;Alta Camada
Conector;Tempo
Conector de Aterramento;Simples
Conector para Aterramento;Simples
Conector Terra;Simples
7 Fios;1C
4 Núcleo;4C
3/C#16MM² + 1X1/C#16MM²;4C
1 Cabo;1C
2 Cabos;2C
3 Cabos;3C
4 Cabos;4C
5 Cabos;5C
7 Cabos;7C
9 Cabos;9C
10 Cabos;10C
12 Cabos;12C
15 Cabos;15C
19 Cabos;19C
24 Cabos;24C
1 Condutor;1C
1.5 mm2;1C
2.5 mm2;1C
1,5 mm2;1C
2,5 mm2;1C
4 mm2;1C
6 mm2;1C
10 mm2;1C
16 mm2;1C
25 mm2;1C
35 mm2;1C
50 mm2;1C
70 mm2;1C
95 mm2;1C
120 mm2;1C
150 mm2;1C
185 mm2;1C
240 mm2;1C
300 mm2;1C
400 mm2;1C
500 mm2;1C
2.5mm2;1C
1,5mm2;1C
2,5mm2;1C
4mm2;1C
6mm2;1C
10mm2;1C
16mm2;1C
25mm2;1C
35mm2;1C
50mm2;1C
70mm2;1C
95mm2;1C
120mm2;1C
150mm2;1C
185mm2;1C
240mm2;1C
300mm2;1C
400mm2;1C
500mm2;1C
2.50 mm2;1C
2.50mm2;1C
4,0mm2;1C
6,0mm2;1C
10,0mm2;1C
16,0mm2;1C
25,0mm2;1C
35,0mm2;1C
50,0mm2;1C
70,0mm2;1C
95,0mm2;1C
120,0mm2;1C
150,0mm2;1C
185,0mm2;1C
240,0mm2;1C
300,0mm2;1C
400,0mm2;1C
500,0mm2;1C
4,0 mm2;1C
6,0 mm2;1C
10,0 mm2;1C
16,0 mm2;1C
25,0 mm2;1C
35,0 mm2;1C
50,0 mm2;1C
70,0 mm2;1C
95,0 mm2;1C
120,0 mm2;1C
150,0 mm2;1C
185,0 mm2;1C
240,0 mm2;1C
300,0 mm2;1C
400,0 mm2;1C
500,0 mm2;1C
4.0mm2;1C
6.0mm2;1C
10.0mm2;1C
16.0mm2;1C
25.0mm2;1C
35.0mm2;1C
50.0mm2;1C
70.0mm2;1C
95.0mm2;1C
120.0mm2;1C
150.0mm2;1C
185.0mm2;1C
240.0mm2;1C
300.0mm2;1C
400.0mm2;1C
500.0mm2;1C
4.0 mm2;1C
6.0 mm2;1C
10.0 mm2;1C
16.0 mm2;1C
25.0 mm2;1C
35.0 mm2;1C
50.0 mm2;1C
70.0 mm2;1C
95.0 mm2;1C
120.0 mm2;1C
150.0 mm2;1C
185.0 mm2;1C
240.0 mm2;1C
300.0 mm2;1C
400.0 mm2;1C
500.0 mm2;1C
1.5 mm²;1C
2.5 mm²;1C
4 mm²;1C
6 mm²;1C
10 mm²;1C
16 mm²;1C
25 mm²;1C
35 mm²;1C
50 mm²;1C
70 mm²;1C
95 mm²;1C
120 mm²;1C
150 mm²;1C
185 mm²;1C
240 mm²;1C
300 mm²;1C
400 mm²;1C
500 mm²;1C
1,5 mm²;1C
2,5 mm²;1C
1.5mm²;1C
2.5mm²;1C
4mm²;1C
6mm²;1C
10mm²;1C
16mm²;1C
25mm²;1C
35mm²;1C
50mm²;1C
70mm²;1C
95mm²;1C
120mm²;1C
150mm²;1C
185mm²;1C
240mm²;1C
300mm²;1C
400mm²;1C
500mm²;1C
1,5mm²;1C
2,5mm²;1C
4,0mm²;1C
6,0mm²;1C
10,0mm²;1C
16,0mm²;1C
25,0mm²;1C
35,0mm²;1C
50,0mm²;1C
70,0mm²;1C
95,0mm²;1C
120,0mm²;1C
150,0mm²;1C
185,0mm²;1C
240,0mm²;1C
300,0mm²;1C
400,0mm²;1C
500,0mm²;1C
4,0 mm²;1C
6,0 mm²;1C
10,0 mm²;1C
16,0 mm²;1C
25,0 mm²;1C
35,0 mm²;1C
50,0 mm²;1C
70,0 mm²;1C
95,0 mm²;1C
120,0 mm²;1C
150,0 mm²;1C
185,0 mm²;1C
240,0 mm²;1C
300,0 mm²;1C
400,0 mm²;1C
500,0 mm²;1C
4.0mm²;1C
6.0mm²;1C
10.0mm²;1C
16.0mm²;1C
25.0mm²;1C
35.0mm²;1C
50.0mm²;1C
70.0mm²;1C
95.0mm²;1C
120.0mm²;1C
150.0mm²;1C
185.0mm²;1C
240.0mm²;1C
300.0mm²;1C
400.0mm²;1C
500.0mm²;1C
4.0 mm²;1C
6.0 mm²;1C
10.0 mm²;1C
16.0 mm²;1C
25.0 mm²;1C
35.0 mm²;1C
50.0 mm²;1C
70.0 mm²;1C
95.0 mm²;1C
120.0 mm²;1C
150.0 mm²;1C
185.0 mm²;1C
240.0 mm²;1C
300.0 mm²;1C
400.0 mm²;1C
500.0 mm²;1C
Bipolar;2C
1#;1C
2#;2C
3#;3C
4#;4C
5#;5C
7#;7C
9#;9C
10#;10C
12#;12C
15#;15C
19#;19C
24#;24C
1 Cor;1C
2 Cor;2C
3 Cor;3C
4 Cor;4C
5 Cor;5C
6 Cor;7C
9 Cor;9C
10 Cor;10C
12 Cor;12C
15 Cor;15C
19 Cor;19C
24 Cor;24C
 3 X35 mm² + 1 T 16 mm²;4C
3x#70mm2+T # 35mm2;4C
3 X 10,0 mm² +10,0mm2 ;4C
 3C#2,5Mm2+1C#2,5;4C
2 X 50,0 mm² +25,0mm2;3C
3 X 150,0 mm² +70,0mm2 ;4C
3#25MM² + #16MM²;4C
3#4,0MM² + #4,0MM²;4C
3/C#16 mm²+16;4C
3X2,5MM² + 2,5MM²;4C
3X4,0MM² + 4,0MM²;4C
3X6,0MM² + 6,0MM²;4C
3X16,0MM² + 16,0MM²;4C
3X50,0MM² + 25,0MM²;4C
3X70,0MM² + 35,0MM²;4C
3X95,0MM² + 50,0MM²;4C
3X120,0MM² + 70,0MM²;4C
3 x 50mm2 + 25mm2;4C
3 x 70mm2 + 35mm²;4C
 3 x 16mm2 + 16mm²;4C
